id,cue,reporter,age_group,text_kw,author,label
1307,cough + sputum has a bad smell,Self,Umuntu mukuru,Ndakorora kandi igikororwa gifite impumuro mbi.,,URGENT
1308,child + swallowed a magnet,Carer,Umwana,Umwana yamize magneti.,,URGENT
1309,pain behind the knee + a lump there,Self,Umusaza/Umukecuru,Ndababara inyuma y’ivi kandi hari akabyimba.,,ROUTINE
1310,fever + no other symptom + four days,Self,Umwana,"Mfite umuriro gusa, nta kindi kimenyetso mfite, bimaze iminsi ine.",,URGENT
1311,baby + blue around mouth when feeding,Carer,Impinja,Umwana ahinduka ubururu hafi y’umunwa iyo arimo konka.,,URGENT
1312,asks if he can work after the injection,Self,Umuntu mukuru,Ndashaka kumenya niba nakomeza gukora nyuma yo guterwa urushinge.,,ROUTINE
1313,pain in the arm + only at night,Self,Umuntu mukuru,Ukuboko kurandya cyane nijoro gusa.,,ROUTINE
1314,child + head lice + school complained,Carer,Umwana,"Umwana afite inda mu mutwe, kandi ku ishuri barabitubwiye.",,ROUTINE
1315,vomiting + pregnant + can't keep water down,Self,Ingimbi/Umwangavu,"Ndatwite kandi ndaruka, n’iyo nywa amazi sindayagumana.",,URGENT
1316,wound on the leg + from a cooking pot handle,Self,Umuntu mukuru,Mfite igikomere ku kuguru natewe n’umukono w’inkono.,,URGENT
1317,woman + feels a mass in the lower belly,Self,Umuntu mukuru,Numva hari ikibyimba mu nda yo hasi.,,ROUTINE
1318,cough + started after a chest infection last month,Self,Umwana,"Ndakorora, byatangiye nyuma y’indwara yo mu gatuza nagize ukwezi gushize.",,ROUTINE
1319,pain in the eye + wears someone else's glasses,Self,Umusaza/Umukecuru,Ijisho rirandya kandi maze igihe nkoresha indorerwamo z’undi muntu.,,ROUTINE
1320,child + burn on the buttocks + hot water,Carer,Impinja,Umwana yatwitswe n’amazi ashyushye ku matako.,,URGENT
1321,weakness in the legs after diarrhoea,Self,Umuntu mukuru,Nacitse intege mu maguru nyuma yo kugira impiswi.,,URGENT
1322,asks about spacing after the last birth,Self,Umuntu mukuru,Ndashaka kumenya uko nakwitandukanya n’umwana wa nyuma mu kubyara undi.,,ROUTINE
1323,chest pain + after heavy drinking,Self,Umuntu mukuru,Mu gatuza harandya nyuma yo kunywa inzoga nyinshi.,,URGENT
1324,child + tooth knocked out + brought it,Carer,Umwana,"Umwana yakuwe iryinyo mu mpanuka, kandi twarizanye.",,URGENT
1325,pain at the back of the head + neck stiff,Self,Umuntu mukuru,Umugongo w’umutwe urandya kandi ijosi rirakakaye.,,URGENT
1326,pregnant + fever and chills,Self,Umuntu mukuru,"Ndatwite, mfite umuriro kandi ndakonje nkagira n’akanyeganyega.",,URGENT
1327,skin dark patches on the face + pregnant,Self,Umuntu mukuru,Ndatwite kandi mfite ibibara byijimye mu maso.,,ROUTINE
1328,old woman + wound on the buttock from lying,Carer,Umusaza/Umukecuru,Umukecuru afite igikomere ku itako kubera kumara igihe aryamye.,,ROUTINE
1329,cut on the foot + walked home barefoot,Self,Umuntu mukuru,Nakomeretse ku kirenge maze ngenda nambaye ubusa ibirenge njya mu rugo.,,URGENT
1330,child + arm swollen after a fall + won't straighten,Carer,Umwana,"Umwana yaguye, ukuboko kurabyimba kandi ntashobora kukugorora.",,URGENT
1331,pain in the belly + relieved after stool,Self,Umuntu mukuru,"Ndababara mu nda, ariko iyo maze kwituma biragabanuka.",,ROUTINE
1332,vision blurred + diabetic,Self,Umusaza/Umukecuru,"Amareba yarahindutse, ibintu mbibona nk’ibijimye, kandi ndwaye diyabete.",,ROUTINE
1333,mother + baby's nose blocked + can't feed,Carer,Impinja,Izuru ry’umwana ryafunze kandi ntashobora konka.,,URGENT
1334,pain in the wrist + fell on outstretched hand,Self,Ingimbi/Umwangavu,Ukuboko ku kuboko kurandya nyuma yo kugwa n’ukuboko kurambuye.,,URGENT
1335,cough + lives with someone on TB treatment,Self,Umwana,Ndakorora kandi mbana n’umuntu uri gufata imiti y’igituntu.,,ROUTINE
1336,woman + leaking urine when coughing,Self,Umusaza/Umukecuru,"Iyo nkoroye, inkari ziransohoka.",,ROUTINE
1337,burn on the foot from a motorbike silencer,Self,Umwana,Naratwitswe ku kirenge n’umuyoboro ushyushye wa moto.,,URGENT
1338,asks why the wound is not healing,Self,Umuntu mukuru,Ndashaka kumenya impamvu igikomere kitakira.,,ROUTINE
1339,chest tight + dust storm at the site,Self,Umuntu mukuru,Mu gatuza harafunga cyane kuva habaye umuyaga w’umukungugu aho nkorera.,,URGENT
1340,child + eye turned inward since a fever,Carer,Umwana,Ijisho ry’umwana ryatangiye kureba imbere kuva yagira umuriro.,,URGENT
1341,pain in the testicle after lifting,Self,Umuntu mukuru,Ndababara mu ntanga nyuma yo guterura ikintu kiremereye.,,URGENT
1342,pregnant + very thirsty + urinating a lot,Self,Umuntu mukuru,"Ndatwite, ngira inyota nyinshi kandi nkajya kunyara kenshi.",,ROUTINE
1343,wound from a broken hoe handle + splinter inside,Self,Umuntu mukuru,"Nakomeretse ku mukono w’isekuru wamenetse, kandi hari agati kacyinjiyemo.",,URGENT
1344,old man + confused only at night,Carer,Umusaza/Umukecuru,Umusaza arayoberwa ibintu nijoro gusa.,,ROUTINE
1345,child + will not eat + sores in mouth,Carer,Umwana,Umwana yanga kurya kandi afite ibisebe mu kanwa.,,URGENT
1346,pain in the chest + after vomiting repeatedly,Self,Umuntu mukuru,Mu gatuza harandya nyuma yo kuruka kenshi.,,URGENT
1347,woman + discharge with itching,Self,Umuntu mukuru,Mfite ururenda rusohoka kandi rurandya.,,ROUTINE
1348,cough + only when lying on one side,Self,Umuntu mukuru,Ndakorora iyo ndyamye ku ruhande rumwe gusa.,,ROUTINE
1349,baby + swelling in the groin when crying,Carer,Impinja,Umwana abyimba mu mayasha iyo arira.,,ROUTINE
1350,asks for help to stop drinking,Self,Umuntu mukuru,Ndashaka ubufasha bwo kureka kunywa inzoga.,,ROUTINE
1351,burn on the hand + child grabbed a lamp,Carer,Umwana,"Umwana yafashe itara, atwika ukuboko.",,URGENT
1352,pain in the shoulder + can't reach behind back,Self,Umusaza/Umukecuru,Urutugu rurandya kandi sinshobora kurushyira inyuma y’umugongo.,,ROUTINE
1353,fever + rash + sore throat,Self,Umwana,"Mfite umuriro, ndundurwe kandi ndibwa mu muhogo.",,URGENT
1354,pregnant + swollen and painful leg one side,Self,Umuntu mukuru,"Ndatwite, ukuguru kumwe kurabyimbye kandi kurandya.",,URGENT
1355,wound on the arm + dog chain,Self,Umwana,Mfite igikomere ku kuboko natewe n’umunyururu w’imbwa.,,URGENT
1356,woman + pain when the baby suckles + crack visible,Self,Umuntu mukuru,"Iyo umwana yonka ndababara, kandi ku ibere hari igisebe cyasataguritse.",,ROUTINE
1357,vomiting + head injury a week ago,Self,Ingimbi/Umwangavu,Ndaruka kandi nakomeretse ku mutwe mu cyumweru gishize.,,URGENT
1358,child + coughing after eating groundnuts,Carer,Umwana,Umwana yatangiye gukorora nyuma yo kurya ubunyobwa.,,URGENT
1359,pain in the lower belly + fever + discharge,Self,Umuntu mukuru,"Ndababara mu nda yo hasi, mfite umuriro kandi hari ururenda rusohoka.",,URGENT
1360,old woman + not passing stool a week,Carer,Umusaza/Umukecuru,Umukecuru amaze icyumweru atituma.,,ROUTINE
1361,cut on the finger + at the butchery,Self,Umuntu mukuru,Nakase urutoki nkorera mu ibagiro.,,URGENT
1362,asks whether to continue the tablets while fasting,Self,Umuntu mukuru,Ndashaka kumenya niba nakomeza gufata ibinini nubwo ndi kwiyiriza.,,ROUTINE
1363,child + fell from a motorbike + helmet on,Carer,Umwana,"Umwana yaguye kuri moto, ariko yari yambaye ingofero.",,URGENT
1364,swelling of the tongue + eating new fruit,Self,Umwana,Ururimi rwarabyimbye nyuma yo kurya imbuto nshya.,,CRITICAL
1365,pain in the back + fever + one side,Self,Umuntu mukuru,"Umugongo urandya, mfite umuriro kandi ndababara ku ruhande rumwe.",,URGENT
1366,baby + vomiting like a fountain after feeds,Carer,Impinja,Umwana aruka cyane nk’aho amazi arasohoka nyuma yo konka.,,URGENT
1367,woman + pain after an abortion elsewhere,Self,Ingimbi/Umwangavu,Ndababara nyuma yo gukuramo inda nakorewe ahandi.,,URGENT
1368,chest pain + smoker + 20 years,Self,Umusaza/Umukecuru,"Mu gatuza harandya, maze imyaka 20 nywa itabi.",,URGENT
1369,child + cough + choking on a peanut a week ago,Carer,Umwana,"Umwana arakorora, kandi mu cyumweru gishize yarahagamye kubera ubunyobwa.",,URGENT
1370,pain in the leg after a long cycle ride,Self,Ingimbi/Umwangavu,Ukuguru kurandya nyuma yo gutwara igare igihe kirekire.,,ROUTINE
1371,wound infected + bandage from the market,Self,Umuntu mukuru,Igikomere cyanduye kandi nari nagihambiriye igitambaro naguze ku isoko.,,URGENT
1372,asks if the child can be vaccinated while sick,Carer,Impinja,Ndashaka kumenya niba umwana ashobora gukingirwa arwaye.,,ROUTINE
1373,woman + no period + breastfeeding + is she pregnant?,Self,Umuntu mukuru,Nta mihango ngira kandi ndonsa; ese nshobora kuba ntwite?,,ROUTINE
1374,old man + falling asleep while talking,Carer,Umusaza/Umukecuru,Umusaza ahora asinzira ari kuvuga.,,URGENT
1375,pain in both hands in the morning + eases by noon,Self,Umuntu mukuru,"Amaboko yombi arandya mu gitondo, ariko saa sita biba byagabanutse.",,ROUTINE
1376,child + swollen eyelid + can't open,Carer,Umwana,Ijisho ry’umwana ryabyimbye ku buryo atabasha kurifungura.,,URGENT
1377,fever + hunting in the forest last week,Self,Umuntu mukuru,Mfite umuriro kandi nari nahigiye mu ishyamba mu cyumweru gishize.,,URGENT
1378,pregnant + headache and seeing spots,Self,Umuntu mukuru,"Ndatwite, ndababara umutwe kandi mbona utudomo imbere y’amaso.",,CRITICAL
1379,wound + burned by a car battery acid,Self,Umuntu mukuru,Mfite igikomere natewe na aside ya batiri y’imodoka.,,URGENT
1380,cough + chest pain + after malaria treatment,Self,Umwana,Ndakorora kandi mu gatuza harandya nyuma yo kuvurwa malaria.,,URGENT
1381,woman + pain in one breast + lump felt,Self,Umuntu mukuru,Ibere rimwe rirandya kandi numva harimo akabyimba.,,ROUTINE
1382,child + cries pulling knees up + passes blood,Carer,Impinja,Umwana ararira akiyegereza amavi ku nda kandi yituma amaraso.,,CRITICAL
1383,asks about a wheelchair for a relative,Carer,Umusaza/Umukecuru,Ndashaka kumenya ibyerekeye igare ry’abafite ubumuga bwo kugenda ku bw’umuvandimwe wanjye.,,ROUTINE
1384,pain in the chest + came on while quarrelling,Self,Umuntu mukuru,"Mu gatuza harandya, byatangiye nkiri gutongana n’umuntu.",,URGENT
1385,baby + rash in the nappy area + raw,Carer,Impinja,Umwana afite uburibwe n’udusebe ahashyirwa pampers.,,ROUTINE
1386,man + cannot see out of the corner of one eye,Self,Umusaza/Umukecuru,Sinshobora kubona neza ku ruhande rw’ijisho rimwe.,,URGENT
1387,child + snoring and stops breathing in sleep,Carer,Umwana,Umwana arakorora mu gusinzira kandi rimwe na rimwe agahagarika guhumeka.,,ROUTINE
1388,pain in the foot + stepped on a thorn last month,Self,Umuntu mukuru,"Ikirenge kirandya, nakandagiye ku mugera mu kwezi gushize.",,ROUTINE
1389,woman + bleeding after menopause,Self,Umusaza/Umukecuru,Ndatambuka amaraso nubwo imihango yarahagaze.,,ROUTINE
1390,cough + cannot finish a sentence,Self,Umuntu mukuru,Ndakorora kandi sinshobora kurangiza interuro imwe ntahagaze ngo mpumeke.,,CRITICAL
1391,child + bitten on the lip by a dog,Carer,Umwana,Umwana yarumwe ku munwa n’imbwa.,,URGENT
1392,pain in the back + numbness in one foot,Self,Umuntu mukuru,Umugongo urandya kandi ikirenge kimwe numva cyataye ibyiyumvo.,,ROUTINE
1393,asks about circumcision wound care,Self,Ingimbi/Umwangavu,Ndashaka kumenya uko nakwitaho igikomere cyo gukebwa.,,ROUTINE
1394,woman + husband has been diagnosed with TB,Self,Umuntu mukuru,Umugabo wanjye bamubwiye ko arwaye igituntu.,,ROUTINE
1395,fever + after a blood transfusion,Self,Umuntu mukuru,Nagize umuriro nyuma yo guterwa amaraso.,,URGENT
1396,baby + eyes not following a face,Carer,Impinja,Amaso y’umwana ntabwo akurikira umuntu iyo amureba.,,ROUTINE
1397,pain in the ear + discharge + hearing worse,Self,Umwana,"Ugutwi kurandya, harimo ibintu bisohokamo kandi kumva byaragabanutse.",,ROUTINE
1398,child + thin + hair changed colour,Carer,Umwana,Umwana arananutse kandi umusatsi wahinduye ibara.,,URGENT
1399,pain in the chest + worse in cold air,Self,Ingimbi/Umwangavu,Mu gatuza harandya kandi birushaho kubabaza iyo ndi mu mwuka ukonje.,,ROUTINE
1400,old woman + swelling of one leg + red and hot,Carer,Umusaza/Umukecuru,"Umukecuru afite ukuguru kumwe kubyimbye, gutukura kandi gushyushye.",,URGENT
1500,child + came with a sibling + no complaint,Carer,Umwana,"Umwana yaje ari kumwe na musaza we cyangwa mushiki we, ariko nta kibazo afite.",,ROUTINE
1501,pain in the tooth + only with cold water,Self,Ingimbi/Umwangavu,Iryinyo rirambabaza iyo nyweye amazi akonje gusa.,,ROUTINE
1502,woman + hair falling out in patches,Self,Umuntu mukuru,Umusatsi uragenda ugwa ahantu hamwe hamwe.,,ROUTINE
1503,man + cannot taste food since a cold,Self,Umuntu mukuru,Kuva nagira ibicurane sinshobora kumva uburyohe bw’ibiryo.,,ROUTINE
1504,child + one ear sticks out and is red,Carer,Umwana,Ugutatwi kumwe kw’umwana kurasohoka kandi haratukura.,,URGENT
1505,asks whether the swelling in the neck will need surgery,Self,Umuntu mukuru,Ndashaka kumenya niba uku kubyimba mu ijosi kuzasaba kubagwa.,,ROUTINE
1506,pregnant + constipated + painful,Self,Umuntu mukuru,"Ndatwite, maze iminsi ntituma neza kandi birambabaza.",,ROUTINE
1507,old man + a lump in the belly he can feel,Self,Umusaza/Umukecuru,Numva mfite akabyimba mu nda nshobora gukoraho.,,ROUTINE
1508,child + bruises easily + no injury,Carer,Umwana,Umwana akunda kugira ibibara by’ubururu ku mubiri nubwo atakomeretse.,,URGENT
1509,woman + pain in the coccyx after falling on stairs,Self,Umuntu mukuru,Naguye ku ngazi none igufwa ryo ku mpera y’umugongo rirambabaza.,,ROUTINE
1510,man + ringing in the ears + constant,Self,Umusaza/Umukecuru,Amatwi yanjye ahora arimo urusaku rudashira.,,ROUTINE
1511,baby + cries during and after every feed,Carer,Impinja,Uruhinja rurira igihe cyose ronsa n’iyo rumaze konsa.,,ROUTINE
1512,asks about tablets that cause a dry cough,Self,Umusaza/Umukecuru,Ndashaka kumenya niba hari ibinini bishobora gutera inkorora yumye.,,ROUTINE
1513,child + a worm came out of the nose,Carer,Umwana,Inyo yasohotse mu mazuru y’umwana.,,ROUTINE
1514,pain in the chest wall + after carrying a coffin,Self,Umuntu mukuru,Mu gatuza harambabaza kuva natwara isanduku.,,ROUTINE
1515,woman + face swollen in the morning + protein mentioned,Self,Umuntu mukuru,"Mu gitondo mu maso harabyimba, kandi bambwiye ibya poroteyine.",,URGENT
1516,man + a boil that keeps returning in the same place,Self,Umuntu mukuru,Mfite ikibyimba kirimo amashyira gihora kigaruka ahantu hamwe.,,ROUTINE
1517,child + fell into a cooking pot of porridge,Carer,Impinja,Umwana yaguye mu nkono y’igikoma cyari kiri ku muriro.,,CRITICAL
1518,old woman + dizzy when she stands from prayer,Self,Umusaza/Umukecuru,Iyo mvuye gusenga ngahaguruka ndazungera.,,ROUTINE
1519,asks whether herbs and tablets can be taken together,Self,Umuntu mukuru,Ndashaka kumenya niba nshobora gufata imiti y’ibyatsi hamwe n’ibinini.,,ROUTINE
1520,pain in the groin + a lump that disappears lying down,Self,Umuntu mukuru,Mu mayasha harambabaza kandi mfitemo akabyimba kabura iyo ndyamye.,,ROUTINE
1521,pregnant + baby not turned + 38 weeks,Self,Umuntu mukuru,Ndatwite ibyumweru 38 kandi umwana ntarahinduka ngo abe mu buryo bwo kuvuka.,,ROUTINE
1522,child + wets the bed + was dry for a year,Carer,Umwana,Umwana yongeye kwihagarika mu buriri kandi yari amaze umwaka atabikora.,,ROUTINE
1523,man + cannot open the eyes in the morning + stuck,Self,Umwana,"Mu gitondo sinshobora gufungura amaso, asa n’afashe.",,ROUTINE
1524,woman + pain in the wrist + carrying a baby,Self,Umuntu mukuru,Mu kuboko hafi y’ikiganza harambabaza kuva ntangiye guterura umwana.,,ROUTINE
1525,cough + fever + works in a poultry shed,Self,Umuntu mukuru,"Ndakorora mfite n’umuriro, kandi nkorera ahororerwa inkoko.",,URGENT
1526,old man + weight loss + no appetite + smoker,Self,Umusaza/Umukecuru,"Naratakaje ibiro, nta appetit mfite kandi ndanywa itabi.",,ROUTINE
1527,child + swelling under the arm after a scratch,Carer,Umwana,Umwana yabimbiriye munsi y’ukuboko nyuma yo kwishimagura.,,ROUTINE
1528,asks what to do about a swollen vein in the leg,Self,Umusaza/Umukecuru,Ndashaka kumenya icyo nakora ku mutsi wo ku kuguru wabyimbye.,,ROUTINE
1529,pain in the belly + relieved by vomiting,Self,Umuntu mukuru,Mu nda harambabaza ariko iyo ndutse biroroha.,,ROUTINE
1530,woman + thick discharge + no smell + itching,Self,Ingimbi/Umwangavu,"Hari ibintu byeruruka kandi byinshi biva mu gitsina, nta mpumuro bifite ariko ndishimagura.",,ROUTINE
1531,man + wound on the foot + walks on it anyway,Self,Umusaza/Umukecuru,Mfite igisebe ku kirenge ariko ndacyakandagaho nkagenda.,,ROUTINE
1532,baby + head always turned to one side,Carer,Impinja,Uruhinja ruhora ruhinduye umutwe ku ruhande rumwe.,,ROUTINE
1533,child + fever every month + no diagnosis,Carer,Umwana,Umwana agira umuriro buri kwezi kandi ntituramenya icyo arwaye.,,ROUTINE
1534,asks whether the child should repeat the vaccine,Carer,Impinja,Ndashaka kumenya niba umwana agomba gusubiramo urukingo.,,ROUTINE
1535,pain in the shoulder blade + after a fall on ice-cold floor,Self,Umuntu mukuru,Mu gufa ryo ku rutugu harambabaza kuva nagwa hasi hakonje cyane.,,ROUTINE
1536,old woman + sleeps all day + awake at night,Carer,Umusaza/Umukecuru,"Umukecuru asinzira umunsi wose, nijoro akaba maso.",,ROUTINE
1537,pregnant + itching without a rash,Self,Umuntu mukuru,Ndatwite kandi ndishimagura cyane nubwo nta bisebe mfite ku ruhu.,,URGENT
1538,man + a red streak from a small cut,Self,Umuntu mukuru,Mfite umurongo utukura uturutse ku gisebe gito.,,URGENT
1539,child + drinks from puddles,Carer,Umwana,Umwana anywa amazi yo mu byobo byo mu muhanda.,,ROUTINE
1540,woman + painful lump in the armpit while breastfeeding,Self,Umuntu mukuru,Nonsa kandi mfite akabyimba kababaza munsi y’ukuboko.,,ROUTINE
1541,cough + wheeze + worse near smoke,Self,Umwana,"Ndakorora kandi mpumeka nsakuza, bikarushaho kuba bibi iyo ndi hafi y’umwotsi.",,ROUTINE
1542,asks whether he can drive after the eye drops,Self,Umuntu mukuru,Ndashaka kumenya niba nshobora gutwara imodoka nyuma yo gushyira imiti mu maso.,,ROUTINE
1543,pain in the belly + travels to the back + vomiting,Self,Umuntu mukuru,"Mu nda harambabaza bikagera no mu mugongo, kandi ndaruka.",,URGENT
1544,old man + cannot remember taking the tablets,Carer,Umusaza/Umukecuru,Umusaza ntiyibuka niba yafashe ibinini bye.,,ROUTINE
1545,child + rash worse after being in the sun,Carer,Umwana,Utubyimba two ku ruhu tw’umwana turushaho kuba twinshi iyo ari ku zuba.,,ROUTINE
1546,woman + severe pain with periods + misses work,Self,Ingimbi/Umwangavu,Imihango irambabaza cyane ku buryo hari igihe ntabasha kujya ku ishuri cyangwa ku kazi.,,ROUTINE
1547,man + chest pain when swallowing food,Self,Umuntu mukuru,Mu gatuza harambabaza iyo meze ibiryo.,,ROUTINE
1548,baby + white coating on the tongue,Carer,Impinja,Uruhinja rufite ibintu by’umweru ku rurimi.,,ROUTINE
1549,asks whether the tablets can be shared with a sibling,Carer,Umwana,Ndashaka kumenya niba ibi binini bishobora gusangizwa umuvandimwe we.,,ROUTINE
1550,pain in the ear + cleaned with a stick,Self,Umwana,Uguhimba kurambabaza kandi nagerageje kugusukura n’agati.,,ROUTINE
1551,pregnant + previous caesarean + in labour,Carer,Umuntu mukuru,"Uyu mugore aratwite, mbere yarabazwe, none afite ibise.",,CRITICAL
1552,child + limping + hip pain + no fever,Carer,Umwana,"Umwana aragenda acumbagira, ikibuno kiramubabaza ariko nta muriro afite.",,URGENT
1553,woman + breathless walking to the field + anaemic before,Self,Umuntu mukuru,"Iyo ngiye mu murima ngenda mbura umwuka, kandi mbere narigeze kugira amaraso make.",,URGENT
1554,man + numbness in the hand at night + wakes him,Self,Umuntu mukuru,Nijoro ikiganza kirandondora cyangwa kigasinzira ku buryo binkangura.,,ROUTINE
1555,old woman + sore on the tailbone from a chair,Carer,Umusaza/Umukecuru,Umukecuru afite igisebe ku mpera y’umugongo giturutse ku kwicara ku ntebe.,,ROUTINE
1556,asks about pain relief that will not upset the stomach,Self,Umuntu mukuru,Ndashaka umuti w’ububabare utazambabaza igifu.,,ROUTINE
1557,child + refuses to use one hand after playing,Carer,Impinja,Umwana yanze gukoresha ukuboko kumwe nyuma yo gukina.,,URGENT
1558,cough + chest pain + recently discharged from hospital,Self,Umuntu mukuru,"Ndakorora kandi mu gatuza harambabaza, kandi mperutse kuva mu bitaro.",,URGENT
1559,woman + sudden severe pain in the lower belly + one side,Self,Umuntu mukuru,"Mu nda hasi harambabaza cyane bitunguranye, cyane cyane ku ruhande rumwe.",,URGENT
1560,man + urine is foamy,Self,Umuntu mukuru,Inkari zanjye zirabira nk’ifuro.,,ROUTINE
1561,baby + poor feeding + cold to touch,Carer,Impinja,Uruhinja ntironsa neza kandi iyo urukozemo urumva rukonje.,,CRITICAL
1562,asks whether it is safe to be vaccinated while pregnant,Self,Umuntu mukuru,Ndashaka kumenya niba ari byiza guhabwa urukingo nkiri umugore utwite.,,ROUTINE
1563,child + swelling of both feet + eating little,Carer,Umwana,Umwana ibirenge byombi byarabyimbye kandi arya duke.,,URGENT
1564,pain in the jaw + ear + on one side only,Self,Umuntu mukuru,"Mu rwasaya no mu gutwi harambabaza, byose ku ruhande rumwe gusa.",,ROUTINE
1565,old man + coughing at night + heart tablets,Self,Umusaza/Umukecuru,Nijoro ndakorora kandi mfata ibinini by’umutima.,,URGENT
1566,woman + a lump that moves under the skin,Self,Umuntu mukuru,Mfite akabyimba munsi y’uruhu gashobora kugenda iyo ngakozeho.,,ROUTINE
1567,man + bitten while asleep + marks on the leg,Self,Umuntu mukuru,Narumwe nkiri nsinziriye kandi mfite ibimenyetso ku kuguru.,,CANNOT CLASSIFY
1568,child + fever + refuses to bend the knee,Carer,Umwana,Umwana afite umuriro kandi yanze kugonda ivi.,,URGENT
1569,asks about a rash that comes with stress,Self,Ingimbi/Umwangavu,Ndashaka kumenya iby’utubyimba two ku ruhu tuza iyo mfite stress.,,ROUTINE
1570,pregnant + reduced movement + hot weather,Self,Umuntu mukuru,"Ndatwite, umwana agenda agabanya uko anyeganyega kandi ubu hari ubushyuhe bwinshi.",,URGENT
1571,woman + pain during the whole month + not just periods,Self,Umuntu mukuru,"Ndababara ukwezi kose, si mu gihe cy’imihango gusa.",,ROUTINE
1572,man + weakness after a long fever,Self,Umuntu mukuru,Nacitse intege cyane nyuma yo kugira umuriro umaze igihe.,,ROUTINE
1573,baby + one eye waters constantly,Carer,Impinja,Ijisho rimwe ry’uruhinja rihora ririmo amarira.,,ROUTINE
1574,child + swallowed a coin two weeks ago + fine,Carer,Umwana,"Umwana yamize igiceri hashize ibyumweru bibiri, ariko ubu ameze neza.",,ROUTINE
1575,old woman + burning in the chest + lying down after eating,Self,Umusaza/Umukecuru,Numva mu gatuza haraka cyane cyane iyo ndyamye nyuma yo kurya.,,ROUTINE
1576,asks whether the child needs glasses,Carer,Umwana,Ndashaka kumenya niba umwana akeneye indorerwamo z’amaso.,,ROUTINE
1577,pain in the back + fever + recently gave birth,Self,Umuntu mukuru,"Umugongo urambabaza, mfite n’umuriro kandi mperutse kubyara.",,URGENT
1578,man + swelling of the face in the morning only,Self,Umuntu mukuru,Mu gitondo gusa ni bwo mu maso hanjye habyimba.,,ROUTINE
1579,cough + started after a dusty journey,Self,Umwana,Natangiye gukorora nyuma y’urugendo rwari rufite umukungugu mwinshi.,,ROUTINE
1580,woman + pain in the leg + on family planning pills,Self,Umuntu mukuru,Ukuguru kurambabaza kandi mfata ibinini byo kuboneza urubyaro.,,URGENT
1581,child + a hole in the eardrum seen before,Carer,Umwana,Mbere twigeze kubwirwa ko umwana afite umwobo mu gihuha cy’ugutwi.,,ROUTINE
1582,asks about scars from a burn as a child,Self,Ingimbi/Umwangavu,Ndashaka kumenya niba hari icyo nakora ku nkovu nasigaranye nashya nkiri muto.,,ROUTINE
1583,old man + shortness of breath lying flat + swelling,Self,Umusaza/Umukecuru,Iyo ndyamye ndambuye mbura umwuka kandi mfite n’ukubyimba.,,URGENT
1584,pregnant + fluid leaking + no contractions,Self,Umuntu mukuru,"Ndatwite, amazi arava ariko nta bise mfite.",,URGENT
1585,man + pain in the calf when walking uphill only,Self,Umusaza/Umukecuru,Inyana y’ukuguru irambabaza iyo nzamutse ahantu hahanamye gusa.,,ROUTINE
1586,baby + bulging soft spot,Carer,Impinja,Ahantu horoshye ku mutwe w’uruhinja harabyimbye.,,CRITICAL
1587,child + weight loss + drinking a lot + tired,Carer,Umwana,"Umwana agenda atakaza ibiro, anywa amazi menshi kandi ahora ananiwe.",,URGENT
1588,woman + pain and swelling of one breast + not feeding,Self,Umusaza/Umukecuru,"Ibere rimwe rirambabaza kandi ryarabyimbye, kandi sindonsa.",,URGENT
1589,asks why the tablets must be taken for six months,Self,Umuntu mukuru,Ndashaka kumenya impamvu ngomba gufata ibi binini amezi atandatu.,,ROUTINE
1590,man + injury to the eye + sees a shadow,Self,Umuntu mukuru,Nakomeretse ku jisho none mbona nk’igicucu.,,URGENT
1591,old woman + cannot lift her arm after a fall,Carer,Umusaza/Umukecuru,Umukecuru yaguye none ntashobora kuzamura ukuboko.,,URGENT
1592,child + fever + swelling of the joints one by one,Carer,Umwana,Umwana afite umuriro kandi ingingo zigenda zibyimba imwe imwe.,,URGENT
1593,pain in the belly + cannot eat + losing weight fast,Self,Umusaza/Umukecuru,"Mu nda harambabaza, sinshobora kurya kandi ndimo gutakaza ibiro vuba.",,URGENT
1594,woman + heavy bleeding + clots + dizzy,Self,Umuntu mukuru,Nva amaraso menshi arimo utubumbe kandi ndazungera.,,CRITICAL
1595,man + confusion + diabetic + missed meals,Carer,Umuntu mukuru,"Afite diabete, amaze kutarya neza none arayoberwa kandi ntameze nk’ibisanzwe.",,CRITICAL
1596,baby + jaundice on day two,Carer,Impinja,Uruhinja rwagize umuhondo ku munsi wa kabiri.,,URGENT
1597,asks whether the cough syrup is for children,Carer,Umwana,Ndashaka kumenya niba uyu muti w’inkorora ugenewe abana.,,ROUTINE
1598,child + fell from a window,Carer,Umwana,Umwana yaguye mu idirishya.,,CRITICAL
1599,old man + blood in the urine + painless + smoker,Self,Umusaza/Umukecuru,"Hari amaraso mu nkari ariko nta bubabare mfite, kandi nanywa itabi.",,ROUTINE
1600,pregnant + severe itching + dark urine,Self,Umuntu mukuru,"Ndatwite, ndishimagura cyane kandi inkari zanjye zarijimye.",,URGENT
1601,woman + wound after female circumcision long ago,Self,Umuntu mukuru,Mfite igisebe cyasigaye nyuma yo gukebwa kera.,,ROUTINE
1602,man + pain in the chest + family history + age 40,Self,Umuntu mukuru,"Mfite imyaka 40, mu gatuza harambabaza kandi mu muryango wacu hari abigeze kugira ikibazo nk’iki.",,URGENT
1603,child + squints only when tired,Carer,Umwana,Umwana ahuma amaso cyane iyo ananiwe gusa.,,ROUTINE
