id,cue,reporter,age_group,text_kw,author,label,annotator,validated_by,register
1508,child + bruises easily + no injury,Carer,Umwana,Umwana akunda kugira ibibara by’ubururu ku mubiri nubwo atakomeretse.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1509,woman + pain in the coccyx after falling on stairs,Self,Umuntu mukuru,Naguye ku ngazi none igufwa ryo ku mpera y’umugongo rirambabaza.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1510,man + ringing in the ears + constant,Self,Umusaza/Umukecuru,Amatwi yanjye ahora arimo urusaku rudashira.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1511,baby + cries during and after every feed,Carer,Impinja,Uruhinja rurira igihe cyose ronsa n’iyo rumaze konsa.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1512,asks about tablets that cause a dry cough,Self,Umusaza/Umukecuru,Ndashaka kumenya niba hari ibinini bishobora gutera inkorora yumye.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1513,child + a worm came out of the nose,Carer,Umwana,Inyo yasohotse mu mazuru y’umwana.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1514,pain in the chest wall + after carrying a coffin,Self,Umuntu mukuru,Mu gatuza harambabaza kuva natwara isanduku.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1515,woman + face swollen in the morning + protein mentioned,Self,Umuntu mukuru,"Mu gitondo mu maso harabyimba, kandi bambwiye ibya poroteyine.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1516,man + a boil that keeps returning in the same place,Self,Umuntu mukuru,Mfite ikibyimba kirimo amashyira gihora kigaruka ahantu hamwe.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1517,child + fell into a cooking pot of porridge,Carer,Impinja,Umwana yaguye mu nkono y’igikoma cyari kiri ku muriro.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
1518,old woman + dizzy when she stands from prayer,Self,Umusaza/Umukecuru,Iyo mvuye gusenga ngahaguruka ndazungera.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1519,asks whether herbs and tablets can be taken together,Self,Umuntu mukuru,Ndashaka kumenya niba nshobora gufata imiti y’ibyatsi hamwe n’ibinini.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1520,pain in the groin + a lump that disappears lying down,Self,Umuntu mukuru,Mu mayasha harambabaza kandi mfitemo akabyimba kabura iyo ndyamye.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1521,pregnant + baby not turned + 38 weeks,Self,Umuntu mukuru,Ndatwite ibyumweru 38 kandi umwana ntarahinduka ngo abe mu buryo bwo kuvuka.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1522,child + wets the bed + was dry for a year,Carer,Umwana,Umwana yongeye kwihagarika mu buriri kandi yari amaze umwaka atabikora.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1523,man + cannot open the eyes in the morning + stuck,Self,Umwana,"Mu gitondo sinshobora gufungura amaso, asa n’afashe.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1524,woman + pain in the wrist + carrying a baby,Self,Umuntu mukuru,Mu kuboko hafi y’ikiganza harambabaza kuva ntangiye guterura umwana.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1525,cough + fever + works in a poultry shed,Self,Umuntu mukuru,"Ndakorora mfite n’umuriro, kandi nkorera ahororerwa inkoko.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1526,old man + weight loss + no appetite + smoker,Self,Umusaza/Umukecuru,"Naratakaje ibiro, nta appetit mfite kandi ndanywa itabi.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1527,child + swelling under the arm after a scratch,Carer,Umwana,Umwana yabimbiriye munsi y’ukuboko nyuma yo kwishimagura.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1528,asks what to do about a swollen vein in the leg,Self,Umusaza/Umukecuru,Ndashaka kumenya icyo nakora ku mutsi wo ku kuguru wabyimbye.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1529,pain in the belly + relieved by vomiting,Self,Umuntu mukuru,Mu nda harambabaza ariko iyo ndutse biroroha.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1530,woman + thick discharge + no smell + itching,Self,Ingimbi/Umwangavu,"Hari ibintu byeruruka kandi byinshi biva mu gitsina, nta mpumuro bifite ariko ndishimagura.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1531,man + wound on the foot + walks on it anyway,Self,Umusaza/Umukecuru,Mfite igisebe ku kirenge ariko ndacyakandagaho nkagenda.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1532,baby + head always turned to one side,Carer,Impinja,Uruhinja ruhora ruhinduye umutwe ku ruhande rumwe.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1533,child + fever every month + no diagnosis,Carer,Umwana,Umwana agira umuriro buri kwezi kandi ntituramenya icyo arwaye.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1534,asks whether the child should repeat the vaccine,Carer,Impinja,Ndashaka kumenya niba umwana agomba gusubiramo urukingo.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1535,pain in the shoulder blade + after a fall on ice-cold floor,Self,Umuntu mukuru,Mu gufa ryo ku rutugu harambabaza kuva nagwa hasi hakonje cyane.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1536,old woman + sleeps all day + awake at night,Carer,Umusaza/Umukecuru,"Umukecuru asinzira umunsi wose, nijoro akaba maso.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1537,pregnant + itching without a rash,Self,Umuntu mukuru,Ndatwite kandi ndishimagura cyane nubwo nta bisebe mfite ku ruhu.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1538,man + a red streak from a small cut,Self,Umuntu mukuru,Mfite umurongo utukura uturutse ku gisebe gito.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1539,child + drinks from puddles,Carer,Umwana,Umwana anywa amazi yo mu byobo byo mu muhanda.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1540,woman + painful lump in the armpit while breastfeeding,Self,Umuntu mukuru,Nonsa kandi mfite akabyimba kababaza munsi y’ukuboko.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1541,cough + wheeze + worse near smoke,Self,Umwana,"Ndakorora kandi mpumeka nsakuza, bikarushaho kuba bibi iyo ndi hafi y’umwotsi.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1542,asks whether he can drive after the eye drops,Self,Umuntu mukuru,Ndashaka kumenya niba nshobora gutwara imodoka nyuma yo gushyira imiti mu maso.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1543,pain in the belly + travels to the back + vomiting,Self,Umuntu mukuru,"Mu nda harambabaza bikagera no mu mugongo, kandi ndaruka.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1544,old man + cannot remember taking the tablets,Carer,Umusaza/Umukecuru,Umusaza ntiyibuka niba yafashe ibinini bye.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1545,child + rash worse after being in the sun,Carer,Umwana,Utubyimba two ku ruhu tw’umwana turushaho kuba twinshi iyo ari ku zuba.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1546,woman + severe pain with periods + misses work,Self,Ingimbi/Umwangavu,Imihango irambabaza cyane ku buryo hari igihe ntabasha kujya ku ishuri cyangwa ku kazi.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1547,man + chest pain when swallowing food,Self,Umuntu mukuru,Mu gatuza harambabaza iyo meze ibiryo.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1548,baby + white coating on the tongue,Carer,Impinja,Uruhinja rufite ibintu by’umweru ku rurimi.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1549,asks whether the tablets can be shared with a sibling,Carer,Umwana,Ndashaka kumenya niba ibi binini bishobora gusangizwa umuvandimwe we.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1550,pain in the ear + cleaned with a stick,Self,Umwana,Uguhimba kurambabaza kandi nagerageje kugusukura n’agati.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1551,pregnant + previous caesarean + in labour,Carer,Umuntu mukuru,"Uyu mugore aratwite, mbere yarabazwe, none afite ibise.",,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
1552,child + limping + hip pain + no fever,Carer,Umwana,"Umwana aragenda acumbagira, ikibuno kiramubabaza ariko nta muriro afite.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1553,woman + breathless walking to the field + anaemic before,Self,Umuntu mukuru,"Iyo ngiye mu murima ngenda mbura umwuka, kandi mbere narigeze kugira amaraso make.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1554,man + numbness in the hand at night + wakes him,Self,Umuntu mukuru,Nijoro ikiganza kirandondora cyangwa kigasinzira ku buryo binkangura.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1555,old woman + sore on the tailbone from a chair,Carer,Umusaza/Umukecuru,Umukecuru afite igisebe ku mpera y’umugongo giturutse ku kwicara ku ntebe.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1556,asks about pain relief that will not upset the stomach,Self,Umuntu mukuru,Ndashaka umuti w’ububabare utazambabaza igifu.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1557,child + refuses to use one hand after playing,Carer,Impinja,Umwana yanze gukoresha ukuboko kumwe nyuma yo gukina.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1558,cough + chest pain + recently discharged from hospital,Self,Umuntu mukuru,"Ndakorora kandi mu gatuza harambabaza, kandi mperutse kuva mu bitaro.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1559,woman + sudden severe pain in the lower belly + one side,Self,Umuntu mukuru,"Mu nda hasi harambabaza cyane bitunguranye, cyane cyane ku ruhande rumwe.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1560,man + urine is foamy,Self,Umuntu mukuru,Inkari zanjye zirabira nk’ifuro.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1561,baby + poor feeding + cold to touch,Carer,Impinja,Uruhinja ntironsa neza kandi iyo urukozemo urumva rukonje.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
1562,asks whether it is safe to be vaccinated while pregnant,Self,Umuntu mukuru,Ndashaka kumenya niba ari byiza guhabwa urukingo nkiri umugore utwite.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1563,child + swelling of both feet + eating little,Carer,Umwana,Umwana ibirenge byombi byarabyimbye kandi arya duke.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1564,pain in the jaw + ear + on one side only,Self,Umuntu mukuru,"Mu rwasaya no mu gutwi harambabaza, byose ku ruhande rumwe gusa.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1565,old man + coughing at night + heart tablets,Self,Umusaza/Umukecuru,Nijoro ndakorora kandi mfata ibinini by’umutima.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1566,woman + a lump that moves under the skin,Self,Umuntu mukuru,Mfite akabyimba munsi y’uruhu gashobora kugenda iyo ngakozeho.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1567,man + bitten while asleep + marks on the leg,Self,Umuntu mukuru,Narumwe nkiri nsinziriye kandi mfite ibimenyetso ku kuguru.,,CANNOT CLASSIFY,"single, non-clinician, the paper's author",NONE,patient_voice
1568,child + fever + refuses to bend the knee,Carer,Umwana,Umwana afite umuriro kandi yanze kugonda ivi.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1569,asks about a rash that comes with stress,Self,Ingimbi/Umwangavu,Ndashaka kumenya iby’utubyimba two ku ruhu tuza iyo mfite stress.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1570,pregnant + reduced movement + hot weather,Self,Umuntu mukuru,"Ndatwite, umwana agenda agabanya uko anyeganyega kandi ubu hari ubushyuhe bwinshi.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1571,woman + pain during the whole month + not just periods,Self,Umuntu mukuru,"Ndababara ukwezi kose, si mu gihe cy’imihango gusa.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1572,man + weakness after a long fever,Self,Umuntu mukuru,Nacitse intege cyane nyuma yo kugira umuriro umaze igihe.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1573,baby + one eye waters constantly,Carer,Impinja,Ijisho rimwe ry’uruhinja rihora ririmo amarira.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1574,child + swallowed a coin two weeks ago + fine,Carer,Umwana,"Umwana yamize igiceri hashize ibyumweru bibiri, ariko ubu ameze neza.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1575,old woman + burning in the chest + lying down after eating,Self,Umusaza/Umukecuru,Numva mu gatuza haraka cyane cyane iyo ndyamye nyuma yo kurya.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1576,asks whether the child needs glasses,Carer,Umwana,Ndashaka kumenya niba umwana akeneye indorerwamo z’amaso.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1577,pain in the back + fever + recently gave birth,Self,Umuntu mukuru,"Umugongo urambabaza, mfite n’umuriro kandi mperutse kubyara.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1578,man + swelling of the face in the morning only,Self,Umuntu mukuru,Mu gitondo gusa ni bwo mu maso hanjye habyimba.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1579,cough + started after a dusty journey,Self,Umwana,Natangiye gukorora nyuma y’urugendo rwari rufite umukungugu mwinshi.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1580,woman + pain in the leg + on family planning pills,Self,Umuntu mukuru,Ukuguru kurambabaza kandi mfata ibinini byo kuboneza urubyaro.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1581,child + a hole in the eardrum seen before,Carer,Umwana,Mbere twigeze kubwirwa ko umwana afite umwobo mu gihuha cy’ugutwi.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1582,asks about scars from a burn as a child,Self,Ingimbi/Umwangavu,Ndashaka kumenya niba hari icyo nakora ku nkovu nasigaranye nashya nkiri muto.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1583,old man + shortness of breath lying flat + swelling,Self,Umusaza/Umukecuru,Iyo ndyamye ndambuye mbura umwuka kandi mfite n’ukubyimba.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1584,pregnant + fluid leaking + no contractions,Self,Umuntu mukuru,"Ndatwite, amazi arava ariko nta bise mfite.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1585,man + pain in the calf when walking uphill only,Self,Umusaza/Umukecuru,Inyana y’ukuguru irambabaza iyo nzamutse ahantu hahanamye gusa.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1586,baby + bulging soft spot,Carer,Impinja,Ahantu horoshye ku mutwe w’uruhinja harabyimbye.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
1587,child + weight loss + drinking a lot + tired,Carer,Umwana,"Umwana agenda atakaza ibiro, anywa amazi menshi kandi ahora ananiwe.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1588,woman + pain and swelling of one breast + not feeding,Self,Umusaza/Umukecuru,"Ibere rimwe rirambabaza kandi ryarabyimbye, kandi sindonsa.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1589,asks why the tablets must be taken for six months,Self,Umuntu mukuru,Ndashaka kumenya impamvu ngomba gufata ibi binini amezi atandatu.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1590,man + injury to the eye + sees a shadow,Self,Umuntu mukuru,Nakomeretse ku jisho none mbona nk’igicucu.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1591,old woman + cannot lift her arm after a fall,Carer,Umusaza/Umukecuru,Umukecuru yaguye none ntashobora kuzamura ukuboko.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1592,child + fever + swelling of the joints one by one,Carer,Umwana,Umwana afite umuriro kandi ingingo zigenda zibyimba imwe imwe.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1593,pain in the belly + cannot eat + losing weight fast,Self,Umusaza/Umukecuru,"Mu nda harambabaza, sinshobora kurya kandi ndimo gutakaza ibiro vuba.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1594,woman + heavy bleeding + clots + dizzy,Self,Umuntu mukuru,Nva amaraso menshi arimo utubumbe kandi ndazungera.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
1595,man + confusion + diabetic + missed meals,Carer,Umuntu mukuru,"Afite diabete, amaze kutarya neza none arayoberwa kandi ntameze nk’ibisanzwe.",,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
1596,baby + jaundice on day two,Carer,Impinja,Uruhinja rwagize umuhondo ku munsi wa kabiri.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1597,asks whether the cough syrup is for children,Carer,Umwana,Ndashaka kumenya niba uyu muti w’inkorora ugenewe abana.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1598,child + fell from a window,Carer,Umwana,Umwana yaguye mu idirishya.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
1599,old man + blood in the urine + painless + smoker,Self,Umusaza/Umukecuru,"Hari amaraso mu nkari ariko nta bubabare mfite, kandi nanywa itabi.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1600,pregnant + severe itching + dark urine,Self,Umuntu mukuru,"Ndatwite, ndishimagura cyane kandi inkari zanjye zarijimye.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1601,woman + wound after female circumcision long ago,Self,Umuntu mukuru,Mfite igisebe cyasigaye nyuma yo gukebwa kera.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1602,man + pain in the chest + family history + age 40,Self,Umuntu mukuru,"Mfite imyaka 40, mu gatuza harambabaza kandi mu muryango wacu hari abigeze kugira ikibazo nk’iki.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1603,child + squints only when tired,Carer,Umwana,Umwana ahuma amaso cyane iyo ananiwe gusa.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1604,asks how often to change the dressing,Self,Umuntu mukuru,Ndashaka kumenya inshuro ngomba guhindura igitambaro cyo ku gikomere.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1605,baby + coughing with a whoop sound,Carer,Impinja,Uruhinja rurakorora rugasohora ijwi ridasanzwe iyo ruhumeka.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1606,old woman + pain in all the bones + housebound,Self,Umusaza/Umukecuru,Amagufa yanjye yose arambabaza kandi sinshobora gusohoka mu rugo.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1607,pregnant + very swollen hands + rings tight,Self,Umuntu mukuru,"Ndatwite, amaboko yanjye yarabyimbye cyane ku buryo impeta zambanye.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1608,man + a sore that bleeds when shaving,Self,Umusaza/Umukecuru,Mfite igisebe kivamo amaraso iyo niyogosheshe.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1609,child + cannot hear whispering,Carer,Umwana,Umwana ntashobora kumva umuntu avugira hasi.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1610,woman + pain with a full bladder,Self,Umuntu mukuru,Iyo uruhago rw’inkari rwuzuye ndababara.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1611,asks whether the wound needs stitches,Self,Umuntu mukuru,Ndashaka kumenya niba igisebe gikeneye kudodwa.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1612,man + hiccups for three days,Self,Umuntu mukuru,Maze iminsi itatu mfite hiccups zidashira.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1613,child + nosebleeds every week,Carer,Umwana,Umwana ava amaraso mu mazuru buri cyumweru.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1614,old man + fell twice this week + no warning,Carer,Umusaza/Umukecuru,Umusaza yaguye inshuro ebyiri muri iki cyumweru kandi nta kimenyetso cyabanje kubaho.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1615,pregnant + fainting when lying on her back,Self,Umuntu mukuru,Ndatwite kandi iyo ndyamye umugongo ndazimira.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1616,woman + wants testing after her partner's diagnosis,Self,Ingimbi/Umwangavu,Ndashaka kwipimisha nyuma y’uko uwo dukundana asuzumwe akagira indwara.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1617,baby + refuses to feed + arching + fever,Carer,Impinja,"Uruhinja rwanze konsa, rujya rusubiza umugongo inyuma kandi rufite umuriro.",,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
1618,asks about a child with a hole in the heart mentioned before,Carer,Umwana,Ndashaka kubaza kuri wa mwana twigeze kubwirwa ko afite umwobo mu mutima.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1619,man + wound from a bullet years ago + pain returns,Self,Umuntu mukuru,"Nakomeretse n’isasu hashize imyaka, none ububabare bwongeye kugaruka.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1620,child + eye injury from a stick + cannot open,Carer,Umwana,Umwana yakubiswe mu jisho n’agati none ntashobora kurifungura.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1621,old woman + swelling of the belly + breathless,Self,Umusaza/Umukecuru,Inda yanjye yarabyimbye kandi ndahumeka nabi.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1622,pain in the neck + after a road accident yesterday,Self,Umuntu mukuru,Ijosi rirambabaza nyuma y’impanuka yo mu muhanda nagize ejo.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1623,woman + pain in the scar from a caesarean two years ago,Self,Umuntu mukuru,Inkovu yo kubagwa hashize imyaka ibiri irambabaza.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1624,man + swollen leg after being in plaster,Self,Umuntu mukuru,Ukuguru kwanjye kwarabyimbye nyuma yo gukurwaho plaster.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1625,child + fever + not responding normally,Carer,Umwana,Umwana afite umuriro kandi ntabwo yitaba cyangwa yitwara nk’ibisanzwe.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
1626,asks whether the medicine can be crushed,Carer,Umusaza/Umukecuru,Ndashaka kumenya niba uyu muti ushobora gusywa.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1627,pregnant + pain between the legs when walking,Self,Umuntu mukuru,Ndatwite kandi iyo ngenda ndababara hagati y’amaguru.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1628,baby + stool is white,Carer,Impinja,Umusarani w’uruhinja ni umweru.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1629,old man + cannot feel his feet + walks unsteadily,Self,Umusaza/Umukecuru,Sinumva ibirenge kandi iyo ngenda ndanyeganyega.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1630,woman + severe pain in the lower back radiating to the front,Self,Umuntu mukuru,Umugongo wo hasi urambabaza cyane kandi ububabare bugera imbere.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1631,man + a lump on the neck that moved quickly,Self,Umuntu mukuru,Mfite akabyimba mu ijosi kagenda vuba.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1632,child + fever and a limp + recently had a sore throat,Carer,Umwana,"Umwana afite umuriro kandi aracumbagira, kandi aherutse kubabara mu muhogo.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1633,asks whether he can play football after the injury,Self,Ingimbi/Umwangavu,Ndashaka kumenya niba nshobora kongera gukina umupira nyuma yo gukomereka.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1634,woman + no movement + feels unwell + 36 weeks,Self,Umuntu mukuru,"Mfite ibyumweru 36 ntwite, umwana ntanyeganyega kandi nanjye sinumva meze neza.",,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
1635,old woman + eyes dry and gritty,Self,Umusaza/Umukecuru,Amaso yanjye yumye kandi numva arimo utuntu duteye nk’umusenyi.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1636,pain in the hand + a tingling like ants at night,Self,Umuntu mukuru,Nijoro ukuboko kurambabaza kandi numva gisa n’aho kirimo utunyamasyo tugenda.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1637,child + drank a cleaning liquid,Carer,Umwana,Umwana yanyoye umuti wo koza.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
1638,man + fever + wound from a farm animal bite,Self,Umuntu mukuru,Mfite umuriro kandi mfite igisebe cyatewe no kurumwa n’itungo ryo mu rugo.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1639,baby + breathing pauses while sleeping,Carer,Impinja,Uruhinja ruhagarika guhumeka rimwe na rimwe iyo ruryamye.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
1640,woman + cannot stop crying since the birth,Self,Umuntu mukuru,Kuva nabuka sinshobora guhagarika kurira.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1641,asks whether the tablets caused the yellow eyes,Self,Umuntu mukuru,Ndashaka kumenya niba ibi binini ari byo byatumye amaso yanjye aba umuhondo.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1642,child + joint swollen and hot + cannot move it,Carer,Umwana,"Ingingo y’umwana yarabyimbye kandi irashyushye, ntashobora kuyinyeganyeza.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1643,old man + coughing up frothy pink sputum,Carer,Umusaza/Umukecuru,Umusaza arakorora agasohora amase asa n’amafuro yijimye.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
1644,pregnant + regular pains every five minutes,Self,Umuntu mukuru,Ndatwite kandi mfite ibise biza buri minota itanu.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1645,man + chest pain at night + wakes him,Self,Umusaza/Umukecuru,Nijoro mu gatuza harambabaza bikankangura.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1646,woman + a lump in the breast that has grown quickly,Self,Umuntu mukuru,Mfite akabyimba mu ibere kagenda gakura vuba.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1647,child + abdominal pain + vomiting + no stool,Carer,Umwana,"Umwana aribwa mu nda, araruka kandi ntashobora kwituma.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
1648,asks about a relative who cannot take tablets,Carer,Umusaza/Umukecuru,Ndashaka kubaza ku muntu wo mu muryango udashobora gufata ibinini.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1649,baby + swelling of the scalp after delivery,Carer,Impinja,Umutwe w’uruhinja warabyimbye nyuma yo kuvuka.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
1650,old woman + a wound on the leg for years,Self,Umusaza/Umukecuru,Mfite igisebe ku kuguru kimaze imyaka.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
