concept_id,domain,proposed_urgency,english_gloss,anchor,person,applies,person_note,form,relation_set,suggested_english,candidate_origin,confidence,verdict_fidelity,suggestion_note,verdict_register,rw_english_check,your_phrasing,second_phrasing_optional,notes,source,needs_clinician,hold
EX24,infectious_fever,URGENT,,,first,yes,,utterance,,I have a fever of 39 degrees.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches 'mfite umuriro wa dogere 39'.,4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX24,infectious_fever,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} has a fever of 39 degrees.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches '{REL} afite umuriro wa dogere 39.',4,,,,,machine_reviewed,,
EX25,infectious_fever,URGENT,,,first,yes,,utterance,,I have a high fever and I am coughing badly.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches 'mfite umuriro mwinshi kandi ndakorora cyane'.,4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX25,infectious_fever,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} has a high fever and is coughing badly.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches '{REL} afite umuriro mwinshi kandi arakorora cyane.',4,,,,,machine_reviewed,,
EX26,infectious_fever,URGENT,,,first,yes,,utterance,,"I have malaria symptoms, fever and chills.",new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","SURVIVOR of the EX26/EX27 collapse, ruled 2026-09-05. FLAG, and it is not about the collapse: the Kinyarwanda kept here is 'ibimenyetso bya malariya, umuriro n'imbeho' — a bare noun phrase with NO VERB, declared form=utterance. That is the EX44-EX47 bug, and this row was missed by that fix because it is the one phrase of the 47 the speaker left byte-identical, so it was never revisited. As an utterance it renders as a fragment with no main clause. The minimal fix is the one they used on EX44: prefix 'Mfite' — 'Mfite ibimenyetso bya malariya, umuriro n'imbeho.' The English supplies the verb because English must; the Kinyarwanda still needs it.",3,"'malaria symptoms' is the patient naming a diagnosis, and 'chills' is the clinical word for what the Kinyarwanda calls imbeho, feeling cold. Would a patient here say chills, or cold? | 'chills' — flagged with the register verdict above.",,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX26,infectious_fever,URGENT,,,third,yes,,utterance,ALL_RELATIONS,"{REL} has malaria symptoms, fever and chills.",new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches '{REL} afite ibimenyetso bya malariya, umuriro n'imbeho.' The third person already carries the verb 'afite', which is how the fragment in the first person shows up so clearly.",3,"'malaria symptoms' is the patient naming a diagnosis, and 'chills' is the clinical word for what the Kinyarwanda calls imbeho, feeling cold. Would a patient here say chills, or cold? | 'chills' — flagged with the register verdict above.",,,,machine_reviewed,,
EX27,infectious_fever,URGENT,,,first,yes,,utterance,,fever and aching all over,v1_corpus,unreviewed,unverified: concept identity,"COLLAPSED INTO EX26 — ruled 2026-09-05. Same presentation: fever, chills, and the patient naming malaria. 'I suspect malaria' is not a different concept, it is the same patient saying it differently. EX26's wording survives; THIS row's wording is recorded as the second phrasing. The English equivalent of it would be 'I have a fever and I feel cold, I think it is malaria' — proposed here, not written into second_phrasing_optional, which is the reviewer's column. Worth noting the direction: the surviving wording is v1 text the speaker approved by leaving it, and the demoted wording is text they actively wrote and is the better patient register of the two.",,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",,,yes
EX27,infectious_fever,URGENT,,,third,yes,,utterance,ALL_RELATIONS,,,,,"COLLAPSED INTO EX26. Was already held on a clinician question — attributing a suspicion of malaria to another person — which the collapse makes moot. Execution is cross-language: applies=no on both EX27 rows, EX27's first-person wording into EX26's second_phrasing_optional, row target down one concept.",,,,,HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept,,INHERITED — restate in English terms during the domain pass,yes
EX28,infectious_fever,URGENT,,,first,yes,,utterance,,I have a fever and my head is hurting badly.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches 'mfite umuriro kandi umutwe urandya cyane'.,4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX28,infectious_fever,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} has a fever and their head is hurting badly.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches '{REL} afite umuriro kandi umutwe uramubabaza cyane.',4,,,,,machine_reviewed,,
IF04,infectious_fever,URGENT,fever with chills and sweats for days,"IMCI: fever, malaria risk",first,yes,,utterance,,"I have had fever, chills and sweating for several days.",new_draft,medium,ok,"HOLD LIFTED — the Kinyarwanda block is one unvalidated word, ''nkabira ibyuya' for sweating is unvalidated'. English has ordinary wording. CARRIES A DURATION and joins section 9's list; 'several days' rather than 'three days' at least avoids reproducing an ONSET string verbatim, though it does not avoid the semantic collision.",3,'chills' again — see EX26. | 'chills' — see EX26.,,,"HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept | draft D069 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,INHERITED — restate in English terms during the domain pass,
IF04,infectious_fever,URGENT,fever with chills and sweats for days,"IMCI: fever, malaria risk",third,yes,,utterance,ALL_RELATIONS,"{REL} has had fever, chills and sweating for several days.",new_draft,medium,ok,"HOLD LIFTED, as IF01 third.",3,'chills' again — see EX26. | 'chills' — see EX26.,,,HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept,machine_reviewed,,
IF05,infectious_fever,URGENT,fever with generalised rash,IMCI: generalised rash -> MEASLES,first,yes,,utterance,,I have a fever and a rash all over my body.,new_draft,medium,ok,"gloss 'fever with generalised rash', IMCI MEASLES. Matches 'Mfite umuriro kandi mfite uduheri ku mubiri wose.'",4,,,,"draft D071 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
IF05,infectious_fever,URGENT,fever with generalised rash,IMCI: generalised rash -> MEASLES,third,yes,,utterance,ALL_RELATIONS,{REL} has a fever and a rash all over their body.,new_draft,medium,ok,"matches '{REL} afite umuriro n'uduheri ku mubiri wose.' NOTE ON THE EX42 COLLISION: in Kinyarwanda EX42's phrase is this one minus 'wose', so it sits whole inside it — one of the five multi-concept groups. The English does not collide, but NOT because it was worded around: IF05's gloss supplies 'rash' and EX42's diminutive 'uduheri' supplies 'small spots', so the two faithful renderings diverge on their own. The pair remains a live collapse candidate — same sign, and after the PA06 ruling their anchors agree.",4,,,,,machine_reviewed,,
IF06,infectious_fever,URGENT,fever with pain passing urine,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,I have a fever and it burns when I pass urine.,new_draft,medium,ok,HOLD LIFTED — the Kinyarwanda block is wording and register: ''iyo nihagarika' is unvalidated and may be the wrong register'. English has a plain patient phrase for dysuria.,4,'pass urine' is common in East African clinical English but may be the health worker's register rather than the patient's.,,,"HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept | draft D073 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,INHERITED — restate in English terms during the domain pass,
IF06,infectious_fever,URGENT,fever with pain passing urine,clinician-defined (no WHO emergency-care anchor),third,yes,,utterance,ALL_RELATIONS,{REL} has a fever and says it burns when they pass urine.,new_draft,medium,ok,"HOLD LIFTED. 'Says' per the rule EX36 and EX37 established: burning on urination is subjective and cannot be observed, so a third person is relaying it. Contrast IF01 third, where a stiff neck is visible and no reporting verb is needed.",4,'pass urine' is common in East African clinical English but may be the health worker's register rather than the patient's.,,,HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept,machine_reviewed,,
EX29,infectious_fever,ROUTINE,,,first,yes,,utterance,,I have had a mild fever for one day but nothing else is wrong.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","CORRECTED. The candidate here was the stale v1 'a mild cough with no fever', which after the EX30 collapse describes CR07's concept rather than this one. The speaker's rewrite moved EX29 from cough to fever — 'mfite umuriro woroheje umaze umunsi umwe, ariko nta kindi kibazo mfite' — and IF07 was removed as a duplicate of it. CARRIES A DURATION: 'for one day' is the concept, so this row joins section 9's list in docs/urgency-frame-coupling.md.",4,,,,"IF07 collapsed into this concept. Its English text was 'a slight fever since yesterday but otherwise well' — Kinyarwanda kept both wordings here (EX16 carries EX17's as a second phrasing), so consider it for second_phrasing_optional rather than letting it drop. | v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX29,infectious_fever,ROUTINE,,,third,yes,,utterance,CHILD_RELATIONS,{REL} has had a mild fever for one day but nothing else is wrong.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches '{REL} afite umuriro woroheje umaze umunsi umwe, ariko nta kindi kibazo afite.' CHILD_RELATIONS by ruling.",4,,,,,machine_reviewed,,
EX30,infectious_fever,ROUTINE,,,first,no,,utterance,,,dropped,,,,,,,,"applies=no inherited from the Kinyarwanda brief | v1 English dropped (collapsed into CR07): 'a mild runny nose'. Recorded so the drop is visible, not silent.",,,
EX30,infectious_fever,ROUTINE,,,third,no,,utterance,ALL_RELATIONS,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
EX31,infectious_fever,ROUTINE,,,first,yes,,utterance,,My nose is running a little.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'amazuru arantemba gake'. THIS IS THE ROW WITH NO v1 COUNTERPART IN ANY LANGUAGE — the speaker ADDED it to the first brief, restoring the mild-runny-nose concept that EX30's rewrite vacated. So this English is drafted from their Kinyarwanda alone, with no v1 text behind it.",4,,,,"no v1 English phrase exists: EX31 is the row the speaker ADDED to the first brief, so it has no counterpart in any other language and English must be drafted from scratch.",machine_reviewed,,
EX31,infectious_fever,ROUTINE,,,third,yes,,utterance,CHILD_RELATIONS,{REL}'s nose is running a little.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches '{REL} amazuru ye aratemba gake.' CHILD_RELATIONS by ruling.,4,,,,,machine_reviewed,,
IF07,infectious_fever,ROUTINE,"low fever one day, otherwise well",,first,no,,utterance,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
IF07,infectious_fever,ROUTINE,"low fever one day, otherwise well",,third,no,,utterance,ALL_RELATIONS,,dropped,,,,,,,,"applies=no inherited from the Kinyarwanda brief | draft D075 dropped (collapsed into EX29): 'a slight fever since yesterday but otherwise well'. Recorded so the drop is visible, not silent.",,,
EX32,neurological,CRITICAL,,,first,no,"applies=no 2026-09-03, rule 11: an unconscious patient cannot report. Same ground on which NE02 first was already applies=no — which was itself part of the evidence the two were one concept.",utterance,,lost consciousness and is not responding,v1_corpus,unreviewed,unverified: concept identity,"The v1 phrases were catalogued as 'existing phrase - no concept recorded', so there is no gloss to check this against. Confirm the English still describes the same presentation the Kinyarwanda row now describes before ruling on register.",,,,,"applies=no inherited from the Kinyarwanda brief | v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",,,
EX32,neurological,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} has lost consciousness and is not responding.,new_draft,medium,ok,"CLUSTER 2 RULED 2026-09-05: PA03 collapses into EX32. Floppy is an unrecorded axis, and the RBC danger-sign list keeps 'kugaragaza intege nke cyane, kutagira icyo yitayeho, gutakaza ubwenge' — very weak, unresponsive, loses consciousness — as ONE item rather than three. EX32 survives with the authored Kinyarwanda '{REL} yataye ubwenge kandi ntasubiza.' and inherits PA03's anchor (IMCI general danger sign: lethargic or unconscious). Relation set stays ALL_RELATIONS, not PA03's CHILD_RELATIONS: an adult can lose consciousness and the first person is applies=no for the obvious reason, not because the concept is child-only.",4,,,,,machine_reviewed,,
EX33,neurological,CRITICAL,,IMCI general danger sign: convulsions,first,no,"applies=no 2026-09-03, rule 11: a convulsing patient cannot report. Same ground on which NE01 first was already applies=no — which was itself part of the evidence the two were one concept.",utterance,,convulsions and shaking,v1_corpus,unreviewed,unverified: concept identity,"The v1 phrases were catalogued as 'existing phrase - no concept recorded', so there is no gloss to check this against. Confirm the English still describes the same presentation the Kinyarwanda row now describes before ruling on register.",,,,,"applies=no inherited from the Kinyarwanda brief | v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",,,
EX33,neurological,CRITICAL,,IMCI general danger sign: convulsions,third,yes,,utterance,ALL_RELATIONS,{REL} has had a fit and is still convulsing.,new_draft,medium,ok,"NOW DETERMINATE under the ruling that `guhinda umushyitsi` means convulsions. The speaker's phrase is '{REL} yagagaye kandi arimo guhinda umushyitsi' — a completed fit (`yagagaye`, past) plus an ongoing one (`arimo guhinda`, progressive). Both words are convulsions, so the English says convulsions twice as well rather than rendering the second as 'shaking'. The progressive limb is doing real work: NE01, continuous convulsion, collapsed into EX33, so the not-stopping is part of what this concept absorbed. v1 English at this position says 'convulsions and shaking', which under the ruling renders the second convulsion word as a non-sign.",4,'a fit' and 'still convulsing' — see OB01. This row mixes the lay word and the clinical one in one sentence.,,,,machine_reviewed,,
EX34,neurological,CRITICAL,,,first,yes,,utterance,,One side of my body is not working.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",v1 'one side of the body not working' as an utterance. The Kinyarwanda first person is unauthored; their third is 'Uruhande rumwe rw'umubiri we ntirukora.',3,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX34,neurological,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} cannot move one side of their body.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","STRUCTURAL DIVERGENCE WORTH KNOWING. EX34 is the one authored Kinyarwanda third still outside the relation architecture: its subject is 'uruhande' (the side) and the patient is a possessor, so it needs 'rw'umubiri wa {REL}' — a rewrite for the speaker's ear, and until then it generates a single instance instead of expanding. English has no such problem: {REL} is the natural subject of 'cannot move one side of their body', so the English row expands over all eight relations while the Kinyarwanda row expands over none. Content is the same; the row counts are not. An argument for the Kinyarwanda rewrite, not against this draft.",4,,,,,machine_reviewed,,
EX35,neurological,CRITICAL,,,first,yes,,utterance,,I cannot speak properly and my mouth has gone crooked.,new_draft,medium,ok,"PARITY CORRECTION. v1 English said 'a drooping face'; French 'le visage deforme' and Swahili 'uso umepinda' say face too. The Kinyarwanda says MOUTH — 'umunwa wagoramye' in v1 and 'umunwa we waragoramye' in the speaker's third. A twisted mouth is what a family sees; a drooping face is the stroke exam. NOTE: the Kinyarwanda FIRST person is unauthored, so this row has no speaker text to check against — only their third.",4,"'my mouth has gone crooked' renders umunwa waragoramye literally. Whether crooked is the word used here, or twisted, or pulled to one side, is a usage question.",,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX35,neurological,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} cannot speak properly and their mouth has gone crooked.,new_draft,low,ok,"person transform. Singular 'their' — RULED 2026-09-04 for every non-obstetric third person, no longer provisional. ALL_RELATIONS spans both genders, so a possessive would otherwise be wrong for half the expansions; Kinyarwanda never faces this because 'umunwa we' is neutral. Obstetric keeps 'she' as the deliberate exception. Recorded in english_relations.THIRD_PERSON_POSSESSIVE.",4,"'my mouth has gone crooked' renders umunwa waragoramye literally. Whether crooked is the word used here, or twisted, or pulled to one side, is a usage question.",,,,machine_reviewed,,
NE01,neurological,CRITICAL,continuous convulsion,,first,no,,utterance,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
NE01,neurological,CRITICAL,continuous convulsion,,third,no,,utterance,ALL_RELATIONS,,dropped,,,,,,,,"applies=no inherited from the Kinyarwanda brief | draft D109 dropped (collapsed into another concept): 'a fit that will not stop'. Recorded so the drop is visible, not silent.",,,
NE02,neurological,CRITICAL,"unconscious, cannot be roused",,first,no,,utterance,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
NE02,neurological,CRITICAL,"unconscious, cannot be roused",,third,no,,utterance,ALL_RELATIONS,,dropped,,,,,,,,"applies=no inherited from the Kinyarwanda brief | draft D111 dropped (collapsed into another concept): 'unconscious and cannot be woken'. Recorded so the drop is visible, not silent.",,,
NE03,neurological,CRITICAL,sudden one-sided weakness,,first,no,,utterance,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
NE03,neurological,CRITICAL,sudden one-sided weakness,,third,no,,utterance,ALL_RELATIONS,,dropped,,,,,,,,"applies=no inherited from the Kinyarwanda brief | draft D113 dropped (collapsed into another concept): 'sudden weakness down one side of the body'. Recorded so the drop is visible, not silent.",,,
NE04,neurological,CRITICAL,sudden difficulty speaking,,first,no,,utterance,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,INHERITED — restate in English terms during the domain pass,
NE04,neurological,CRITICAL,sudden difficulty speaking,,third,no,,utterance,ALL_RELATIONS,,dropped,,,,,,,,"applies=no inherited from the Kinyarwanda brief | draft D115 dropped (collapsed into another concept): 'suddenly unable to speak properly'. Recorded so the drop is visible, not silent.",,,
NE05,neurological,URGENT,severe headache with vomiting and photophobia,BEC Module 5: altered mental status (meningitis differential),first,yes,,utterance,,"I have a severe headache, I am vomiting and the light hurts my eyes.",new_draft,medium,ok,"gloss 'severe headache with vomiting and photophobia'. ENGLISH CARRIES ALL THREE SIGNS AND THE KINYARWANDA CANNOT — section 7 records photophobia as vocabulary-blocked: no word for light is attested anywhere ('urumuri' nowhere, 'izuba' once and meaning sunbathing), so the Kinyarwanda draft carries two of three. THIS IS A DIFFERENT KIND OF GAP FROM PA08, CR05 and GI03. Those were blocked on a word for a thing the phrase names — ear, wheeze, stool — and the concept survived intact once English supplied it. Here the missing word costs a SIGN the concept is defined by, so the two languages would describe different presentations rather than the same one in different words. Flagged rather than held, because the English is right to its gloss; but if the Kinyarwanda stays at two signs this is a content divergence, not a wording one.",3,,,,"draft D117 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
NE05,neurological,URGENT,severe headache with vomiting and photophobia,BEC Module 5: altered mental status (meningitis differential),third,yes,,utterance,ALL_RELATIONS,"{REL} has a severe headache, is vomiting and cannot stand the light.",new_draft,medium,ok,person transform. Same three-sign flag as the first person.,3,'cannot stand the light' is idiomatic English for photophobia. Also the row where the Kinyarwanda carries two of three signs.,,,,machine_reviewed,,
NE06,neurological,URGENT,new confusion today,BEC Module 5: altered mental status,first,yes,,utterance,,"confused since this morning, not making sense",sheet_draft,unreviewed,,"NOT DRAFTED, and held. The Kinyarwanda records the reason and it is clinical, not linguistic: 'whether a patient who can accurately report new confusion is meaningfully confused is a clinical question. applies=yes stands; the first-person row is not written until a clinician settles it.' That transfers to English unchanged, so English does not write it either. Secondary: the stale sheet draft sitting in this row, 'confused since this morning, not making sense', also carries its own time expression and would collide with the ONSET slot — see section 9 of docs/urgency-frame-coupling.md.",,,,,"draft D119 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",,INHERITED — restate in English terms during the domain pass,yes
NE06,neurological,URGENT,new confusion today,BEC Module 5: altered mental status,third,yes,,utterance,ALL_RELATIONS,{REL} has been confused since this morning and is not making sense.,new_draft,low,ok,"gloss 'new confusion today'. THIRD PERSON ONLY, for the same reason HT03's is: the clinical doubt is about whether a confused patient can report their own confusion, and an observer has none. Kinyarwanda is unauthored for both persons. CARRIES A TIME EXPRESSION deliberately — 'today' is in the gloss and newness is the concept — so this row belongs on section 9's list of phrases that need the empty onset.",4,,,,,machine_reviewed,,
NE07,neurological,URGENT,repeated fainting,BEC Module 4: shock / Module 5: altered mental status,first,yes,,utterance,,I have fainted several times.,new_draft,medium,ok,"gloss 'repeated fainting'. Kinyarwanda unauthored, so drafted from the gloss. 'Several times' rather than a duration, so it does not collide with the ONSET slot the way NE06 does.",4,,,,"draft D121 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
NE07,neurological,URGENT,repeated fainting,BEC Module 4: shock / Module 5: altered mental status,third,yes,,utterance,ALL_RELATIONS,{REL} has fainted several times.,new_draft,medium,ok,person transform.,4,,,,,machine_reviewed,,
EX36,neurological,ROUTINE,,,first,yes,,utterance,,My head hurts but not badly.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","matches 'umutwe urandya ariko ntabwo cyane'. The not-badly contrast is what makes the row ROUTINE and is kept for that reason. v1 English was 'a mild headache that is not severe', which says mild twice.",4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX36,neurological,ROUTINE,,,third,yes,,utterance,CHILD_RELATIONS,{REL} says their head hurts but not badly.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","CHILD_RELATIONS by ruling, so this is a carer reporting a child. 'Says' is doing real work here and is not padding: a mild headache is not observable, so a carer can only be reporting what the child told them. Contrast EX32 and EX35, where the sign is visible and no reporting verb is needed. The Kinyarwanda third is unauthored, so this is drafted from the first person.",4,,,,,machine_reviewed,,
EX37,neurological,ROUTINE,,,first,yes,,utterance,,I feel tired but not too tired.,new_draft,medium,ok,"PARITY CORRECTION. v1 English, French and Swahili all add 'during the day' / 'pendant la journee' / 'wakati wa mchana'. The Kinyarwanda says only 'umunaniro woroheje', mild tiredness, and the speaker's rewrite is 'ndumva naniwe ariko si cyane' — I feel tired but not much. The time-of-day claim is dropped, and the not-much contrast is kept because it is what makes the row ROUTINE.",3,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX37,neurological,ROUTINE,,,third,yes,,utterance,CHILD_RELATIONS,{REL} says they feel tired but not too tired.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","CHILD_RELATIONS by ruling. Same reasoning as EX36 third for 'says' — tiredness is reported, not observed. Kinyarwanda third unauthored.",4,,,,,machine_reviewed,,
NE08,neurological,ROUTINE,intermittent mild headache,,first,no,,utterance,,,,,,,,,,,applies=no inherited from the Kinyarwanda brief,,,
NE08,neurological,ROUTINE,intermittent mild headache,,third,no,,utterance,ALL_RELATIONS,,dropped,,,,,,,,"applies=no inherited from the Kinyarwanda brief | draft D123 dropped (collapsed into another concept): 'a mild headache that comes and goes'. Recorded so the drop is visible, not silent.",,,
EX38,obstetric,CRITICAL,,,first,yes,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,I am pregnant and I have severe pain in my stomach and I am bleeding.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","v1 had the noun phrase 'severe abdominal pain in pregnancy with bleeding'; this is the same content as an utterance so the relation rulings can apply. No gloss exists for any EX row, so fidelity is checked against the speaker's own phrase instead: 'ndatwite, ndababara cyane mu nda kandi ndava amaraso' — pregnant, severe belly pain, bleeding. All three clauses are present.",4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX38,obstetric,CRITICAL,,,third,yes,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,OBSTETRIC_RELATIONS,"{REL} is pregnant, she has severe stomach pain and she is bleeding.",new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","person transform of the first, matching the speaker's third '{REL} aratwite, arababara cyane mu nda kandi arava amaraso.' See the note on OB01 third about 'she'.",4,,,,,machine_reviewed,,
EX39,obstetric,CRITICAL,,,first,yes,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,I gave birth and now I am bleeding heavily.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda","v1 'heavy bleeding after giving birth' as an utterance. Matches 'ndava amaraso menshi nyuma yo kubyara'. Reordered so the phrase does not open with a time clause, which the ONSET slot also supplies.",4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX39,obstetric,CRITICAL,,,third,yes,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,OBSTETRIC_RELATIONS,{REL} gave birth and now she is bleeding heavily.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",person transform of the first.,4,,,,,machine_reviewed,,
OB01,obstetric,CRITICAL,convulsion in pregnancy (eclampsia),MCPC: eclampsia / convulsions in pregnancy,first,yes,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,I am pregnant and I have had a fit.,new_draft,medium,ok,"gloss is 'convulsion in pregnancy (eclampsia)'. 'A fit' is what a patient says; 'convulsion' is what the record says, and the phrase is the patient's turn. The eclampsia label is deliberately absent — it is the diagnosis, not the report. Replaces draft D003 'fits or convulsions while pregnant', which was a noun phrase and listed two words for one thing.",4,"'a fit' is British. East African English more often says convulsions, or fits in the plural. Applies to IF02 and EX33 as well.",,,"draft D003 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
OB01,obstetric,CRITICAL,convulsion in pregnancy (eclampsia),MCPC: eclampsia / convulsions in pregnancy,third,yes,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,OBSTETRIC_RELATIONS,{REL} is pregnant and she has had a fit.,new_draft,medium,ok,"'she' rather than a neutral construction. The obstetric four include 'My neighbour', which is gender-neutral in English exactly as Umuturanyi wanjye is in Kinyarwanda; 'she' resolves it to a patient who can be pregnant, which is what the ruling intends. This is the one place English can express the restriction the Kinyarwanda set can only imply. RULE IT EXPLICITLY: if 'she' is wrong here it is wrong on all fourteen obstetric thirds.",4,"'a fit' is British. East African English more often says convulsions, or fits in the plural. Applies to IF02 and EX33 as well.",,,,machine_reviewed,,
OB02,obstetric,CRITICAL,severe headache with blurred vision in pregnancy,"MCPC: severe pre-eclampsia (headache, visual disturbance)",first,yes,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,"I am pregnant, my head is hurting badly and I cannot see clearly.",new_draft,medium,ok,"gloss 'severe headache with blurred vision in pregnancy'. Both signs kept and neither named as pre-eclampsia. 'Cannot see clearly' over 'blurred vision' for the same reason as OB01. Replaces draft D007, which was a noun phrase.",4,,,,"draft D007 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
OB02,obstetric,CRITICAL,severe headache with blurred vision in pregnancy,"MCPC: severe pre-eclampsia (headache, visual disturbance)",third,yes,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,OBSTETRIC_RELATIONS,"{REL} is pregnant, her head is hurting badly and she cannot see clearly.",new_draft,medium,ok,person transform of the first.,4,,,,,machine_reviewed,,
OB03,obstetric,CRITICAL,cord or hand presenting before the baby,MCPC: cord prolapse,first,yes,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,I am giving birth but the baby's cord came out first.,new_draft,low,unverified: clinician,"gloss 'cord or hand presenting before the baby'. The draft covers the cord only and drops the hand, which the anchor (MCPC: cord prolapse) also does. Held with the Kinyarwanda: do not generate until a clinician validates the description.",,,,,"draft D011 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",,"YES — cord presentation is a specific obstetric emergency sign. The Kinyarwanda rows carry 'DO NOT GENERATE until validated' and that ruling is about the SIGN, not about Kinyarwanda wording, so it holds for English unchanged.",yes
